"Grid_Value","RUBL_LC","Area","Area_Name","Comb_Value","NVCMES","Level3","ClassName","Description.of.Ecological.System.or.Land.use.class","X"
201,"floodplain_forest",1,"CONUS",201,"01.C.3.D011M029E201",9857,"South-Central Interior Large Floodplain","This floodplain system is found in the Interior Highlands as far west as eastern Oklahoma, as well as throughout the Interior low Plateau, Cumberlands, Southern Ridge and Valley, and Western Allegheny Plateau, and lower elevations of the Southern Blue Ridge. It occurs along large rivers or streams where topography and alluvial processes have resulted in a well-developed floodplain. A single occurrence may extend from river's edge across the outermost extent of the floodplain or to where it meets a wet meadow or upland system. Many will contain well-drained levees, terraces and stabilized bars, and some will include herbaceous sloughs and shrub wetlands resulting, in part, from beaver activity. Although vegetation is quite variable in this broadly defined system. Understory species are mixed, but include shrubs, such as buttonbush and sedges. This system usually floods at least once annually and can be altered by occasional severe floods. Impoundments and conversion to agriculture have also impacted this system.","."
202,"floodplain_forest",1,"CONUS",202,"01.C.3.D011M029E202",9805,"South-Central Interior Large Floodplain - Forest Modifier","This floodplain system is found throughout the Interior low Plateau, Cumberlands, Southern Ridge and Valley, Western Allegheny Plateau, and lower elevations of the Southern Blue Ridge.  Examples occur along large rivers where topography and alluvial processes have resulted in a well-developed floodplain.  A single occurrence may extend from river's edge across the outermost extent of the floodplain or to where it meets a wet meadow or upland system.  Many examples of this system will contain well-drained levees, terraces and stabilized bars, and some will include herbaceous sloughs and shrub wetlands resulting, in part, from beaver activity.  A variety of soil types may be found within the floodplain from very well-drained sandy substrates to very dense clays.  It is this variety of substrates in combination with different flooding regimes that creates the mix of vegetation.  Most areas, except for the montane alluvial forests, are inundated at some point each spring; microtopography determines how long the various habitats are inundated.  Although vegetation is quite variable in this broadly defined system, examples may include Acer saccharinum, Platanus occidentalis, Liquidambar styraciflua, and Quercus spp.  Understory species are mixed, but include shrubs, such as Cephalanthus occidentalis and Arundinaria gigantea ssp. gigantea, and sedges (Carex spp.).  This system likely floods at least once annually and can be altered by occasional severe floods.  Impoundments and conversion to agriculture can also impact this system.

Variation:  Forested - Canopy forest present.

Other Variation(s):  Herbaceous.","."
203,"floodplain_forest",1,"CONUS",203,"01.C.3.D011M029E203",9850,"South-Central Interior Small Stream and Riparian","This system is found throughout the Interior Low Plateau, Southern Ridge and Valley, Western Allegheny Plateau, and lower elevations of the Southern Blue Ridge. Examples occur along small streams and floodplains with low to moderately high gradients. There is be little to moderate floodplain development. Flooding and scouring both influence this system, and the nature of the landscape prevents the kind of floodplain development found on larger rivers. This system may contain cobble bars with adjacent wooded vegetation and rarely have any marsh development, except through occasional beaver impoundments. The vegetation is a mosaic of forests, woodlands, shrublands, and herbaceous communities. Typical tree species include sycamore, river birch, Carolina red maple, sweet gum, and oak. Shrubs and herbaceous layers vary in richness and cover. Small seeps dominated by sedges, ferns, and other herbaceous species can often be found within this system, especially at the headwaters and terraces of streams.","."
213,"floodplain_forest",1,"CONUS",213,"01.C.3.D062M031E213",9801,"Atlantic Coastal Plain Blackwater Stream Floodplain Forest - Forest Modifier","This Atlantic Coastal Plain system, which is apparently most abundant in the Carolinas, occurs in floodplains of small streams that carry little mineral sediment (blackwater streams).  These streams have their headwaters in sandy portions of the Coastal Plain.  The water is usually strongly stained by tannins but has little suspended clay and is not turbid.  Depositional landforms may be absent or present only in limited variety and of small size.  Soils are usually strongly acidic.  Flooding ranges from semipermanent in the wettest floodplains to intermittent and short in higher gradient streams.  Some small blackwater streams have most of their flow from sandhill seepage and have limited fluctuation in water levels.  Vegetation consists almost entirely of forests of wetland trees.  Wetter examples are strongly dominated by Taxodium distichum and Nyssa biflora.  Other examples have mixtures of these species with Quercus spp. and other bottomland hardwoods tolerant of blackwater conditions.  Species richness ranges from low to moderate, but is lower than in comparable brownwater systems.  Flooding is an important ecological factor in this system and may be the most important factor separating it from adjacent systems.  Flooding brings nutrients and excludes non-flood-tolerant species.  Unlike river systems, flooding tends to be variable and of shorter duration.

Variation:  Forest - Canopy forest present.

Other Variation(s):  Herbaceous.","."
214,"floodplain_forest",1,"CONUS",214,"01.C.3.D062M031E214",9845,"Atlantic Coastal Plain Brownwater Stream Floodplain Forest","This Atlantic Coastal Plain system reaches into the Northeast only in southern Virginia (south of the James River). It occurs on floodplains of smaller streams  where fine-textured sediment predominates, and that therefore carry substantial amounts of silt and clay. Depositional landforms, at least a natural levee, are often distinctly present but are fairly small relative to the scale of communities and help create some variation in duration of flooding and nutrient input. Soils are generally fertile and not strongly acidic. Flooding is generally seasonal but may range to nearly semipermanent. Vegetation consists almost entirely of forests of wetland trees. Wetter examples are strongly dominated by bald cypress and tupelo. Other examples have mixtures of these species with oaks and other bottomland hardwoods. Understory, shrub and herb layers are generally well-developed. Flooding is an important ecological factor in this system, bringing nutrients and excluding non-flood-tolerant species. Unlike larger river systems, flooding tends to be variable and of shorter duration.","."
215,"floodplain_forest",1,"CONUS",215,"01.C.3.D062M031E215",9235,"Atlantic Coastal Plain Northern Tidal Wooded Swamp","This system encompasses tidally flooded deciduous forests and shrublands in lower river floodplains and edges of estuaries of the North Atlantic Coastal Plain from New York south through Virginia. This system is restricted to narrow zones along upper tidal reaches of Inner Coastal Plain rivers and tributaries that have sufficient volumes of fresh water and short flooding to be able to support tree canopies. These areas are influenced by lunar tides of up to 3 feet, but freshwater flows from upstream dilute the salinity to a negligible level. Deciduous hardwood species predominate, includiing green ash, red maple, swamp tupelo, pumpkin ash, and occasionally (in Virginia) bald cypress.","."
216,"floodplain_forest",1,"CONUS",216,"01.C.3.D062M031E216",9843,"Atlantic Coastal Plain Small Blackwater River Floodplain Forest","This system encompasses the floodplains of small to medium blackwater rivers, intermediate between the smaller streams and the largest rivers. Blackwater rivers originate in the sandy areas of the Coastal Plain and have less well-developed depositional alluvial landforms. Soils are sandy or mucky, acidic, and infertile. Vegetation is a mosaic of cypress and gum swamps and bottomland hardwoods of a limited set of oaks and other species. In general vegetation is low in species richness.","."
218,"floodplain_forest",1,"CONUS",218,"01.C.3.D062M031E218",9218,"Atlantic Coastal Plain Southern Tidal Wooded Swamp","This system, distributed from southeastern Virginia southward to northern Florida,  encompasses the tidally flooded areas in lower river floodplains and edges of estuaries that have sufficiently fresh water and short enough flooding to be able to support tree canopies. Bald cypress, black gum, or ash generally dominate. Swamps may be either regularly flooded by lunar tides or irregularly flooded by wind tides.","."
219,"floodplain_forest",1,"CONUS",219,"01.C.3.D062M031E219",9804,"East Gulf Coastal Plain Large River Floodplain Forest - Forest Modifier","This system represents a geographic subset of Kuchler's (1964) Southern Floodplain Forest.  Examples may be found along large rivers of the East and Upper East Gulf Coastal Plain, especially the Apalachicola, Alabama, Tombigbee, Pascagoula, and Pearl rivers, all of which ultimately drain into the Gulf of Mexico.  Several distinct plant communities can be recognized within this system that may be related to the array of different geomorphologic features present within the floodplain.  Some of the major geomorphic features associated with different community types include natural levees, point bars, meander scrolls, oxbows, and sloughs (Sharitz and Mitsch 1993).  Vegetation generally includes forests dominated by bottomland hardwood species and other trees tolerant of flooding.  However, herbaceous and shrub vegetation may be present in certain areas as well.

Variation:  Forested - Forest canopy present.

Other Variation(s):  Herbaceous.","."
220,"floodplain_forest",1,"CONUS",220,"01.C.3.D062M031E220",9851,"East Gulf Coastal Plain Small Stream and River Floodplain Forest","This is a predominantly forested system of the East Gulf Coastal Plain associated with small brownwater rivers and creeks. In contrast to ~East Gulf Coastal Plain Large River Floodplain Forest (CES203.489)$$, it has fewer major geomorphic floodplain features typically associated with large river floodplains. Those features that are present tend to be smaller and more closely intermixed with one another, resulting in less obvious vegetational zonation. Bottomland hardwood tree species are typically important and diagnostic, although mesic hardwood species are also present in areas with less inundation, such as upper terraces and possibly second bottoms. As a whole, flooding occurs annually, but the water table usually is well below the soil surface throughout most of the growing season. Areas impacted by beaver impoundments are also included in this system.","."
221,"floodplain_forest",1,"CONUS",221,"01.C.3.D062M031E221",9210,"East Gulf Coastal Plain Tidal Wooded Swamp","This system encompasses the tidally flooded portions of river floodplains which flow into the northern Gulf of Mexico east of the Mississippi River. Large outflows of freshwater keep salinity levels at a minimum, and flooding is of short enough duration to allow survival of tree canopies. Bald cypress, tupelo, or ash generally dominate. These swamps may be regularly flooded at least twice daily (FNAI 1990).","."
222,"floodplain_forest",1,"CONUS",222,"01.C.3.D062M031E222",4142,"East-Central Texas Plains Floodplain Forest","This system is found in the floodplains of medium and large rivers of the ""East Central Texas Plains"" (sensu EPA; Griffith et al. (2004) Level III Ecoregion 33) and ""Texas Blackland Prairie"" (Level III Ecoregion 32), this comprising the terrain between the West Gulf Coastal Plain (or South Central Plains; Level III Ecoregion 35 sensu EPA) to the east and the Crosstimbers (EPA level III Ecoregion 27) and Edwards Plateau (EPA level III Ecoregion 30 etc.) to the west. Alluvial soils and sedimentation processes typify this system. Periodic, intermediate flooding and deposition (every 5-25 years) dominates the formation and maintenance of this system. Dominant communities within this system range from floodplain forests to wet meadows to gravel/sand flats; however, they are linked by underlying soils and the flooding regime. Canopy dominants may include pecan, cedar elm, American elm, sugarberry, plateau live oak, water oak, white ash, sycamore, box-elder, Arizona walnut, bur oak, red mulberry, green ash, and western soapberry. Overgrazing and/or overbrowsing may influence recruitment of overstory species and composition of the understory and herbaceous layers. Shrub species may include beautyberry, possum-haw, gum bumelia, eastern persimmon, farkleberry, eastern red-cedar, roughleaf dogwood, and rusty blackhaw, which may occur as dense patches following disturbance, but are otherwise generally fairly sparse. Herbaceous cover includes Virginia wild rye, common frostweed, river-oats, longleaf wood-oats, eastern gammagrass, Drummond's aster, white avens, Canadian black snakeroot, switchgrass, bedstraw spp., and sedge sp. Herbaceous cover may be quite high, especially in situations where shrub cover is low. The environment and vegetation of this system become generally and correspondingly drier from east to west with moister representatives (such as communities containing willow oak, cherrybark oak, white oak, and overcup oak ) occurring along the eastern and northeastern margins of the range. Representatives of this system may vary in the openness of the habitat and physiognomy.","."
223,"floodplain_forest",1,"CONUS",223,"01.C.3.D062M031E223",4141,"East-Central Texas Plains Riparian Forest","This system occurs in various situations along small and intermittent streams of the ""East Central Texas Plains"" (sensu EPA; Griffith et al. (2004) Level III Ecoregion 33) and ""Texas Blackland Prairie"" (Level III Ecoregion 32), this comprising the terrain between the West Gulf Coastal Plain (or South Central Plains; Level III Ecoregion 35 sensu EPA) to the east and the Crosstimbers (EPA level III Ecoregion 27 and Edwards Plateau (EPA level III Ecoregion 30 etc. to the west). Some trees that may be present in stands of this system include sugarberry, netleaf hackberry, sycamore, little walnut, Arizona walnut, plateau live oak, water oak, willow oak, tall indigobush, swamp privet, silver maple, wingleaf soapberry, black willow, green ash, honey-locust, pecan, and cedar elm. The environment and vegetation of this system become generally and correspondingly drier from east to west with moister representatives (such as communities containing water oak) occurring in the eastern parts of the range. Representatives of this system typically occur in stream-scoured situations and vary in the openness of the habitat and physiognomy.","."
224,"floodplain_forest",1,"CONUS",224,"01.C.3.D062M031E224",9817,"Eastern Great Plains Floodplain Systems","This system is found along rivers across the glaciated Midwest. It occurs from river's edge across the floodplain or to where it meets a wet meadow system. It can have a variety of soil types found within the floodplain from very well-drained sandy substrates to very dense clays. It is this variety of substrates and flooding that creates the mix of vegetation that includes Acer saccharinum, Populus deltoides, willows, especially Salix nigra in the wettest areas, and Fraxinus pennsylvanica, Ulmus americana, and Quercus macrocarpa in more well-drained areas. Within this system are oxbows that may support Nelumbo lutea and Typha latifolia. Understory species are mixed, but include shrubs, such as Cornus drummondii and Asimina triloba (in Kansas), sedges and grasses, which sometimes help form savanna vegetation. Flooding is the primary dynamic process, but drought, grazing, and fire have all had historical influence on this system. Federal reservoirs have had a serious and negative effect on this system, along with agriculture that has converted much of this system to drained agricultural land.","."
225,"floodplain_forest",1,"CONUS",225,"01.C.3.D062M031E225",9717,"Mississippi River Bottomland Depression","This system represents semipermanently flooded to saturated depressional areas of the lower Mississippi River Alluvial Valley, from southern Illinois south to Mississippi and Louisiana. These areas have a distinctly longer hydroperiod than other parts of the landscape. Typical and characteristic trees in examples of this system include swamp red maple, water hickory, pumpkin ash, water-locust, water tupelo, swamp blackgum, planertree, overcup oak, pin oak, black willow, and bald-cypress. Some characteristic shrubs include common buttonbush, stiff dogwood, swamp-loosestrife, swamp privet, Virginia-willow, and planertree. Herbs are uncommon, but floating water-primrose, lanceleaf arrowhead, hornwort spp., waterweed spp., pondweed spp., and lesser duckweed may be found.","."
226,"floodplain_forest",1,"CONUS",226,"01.C.3.D062M031E226",9854,"Mississippi River Floodplain and Riparian Forest","This systems group comprises floodplain forests in the Mississippi River Alluvial Plain of the southeastern United States, from far southeastern Missouri and extreme southern Illinois south to the Gulf of Mexico, including the floodplains and terraces of the Mississippi River and the Red River (in Louisiana and eastern Texas). Within this area, it includes broad gradients of river size, soil nutrient levels, and flood frequency, including smaller tributaries. Flooding ranges from semipermanent in the wettest areas to intermittent and short on the higher portions of the floodplain. Some of the major geomorphic features associated with different community types include natural levees, point bars, meander scrolls, oxbows, and sloughs. Small river floodplain forests have fewer major geomorphic floodplain features typically associated with large river floodplains. Those features that are present tend to be smaller and more closely intermixed with one another, resulting in less obvious vegetational zonation. Large rivers have greater variation in water levels and have flood regimes that integrate the effects of very large watersheds. Depositional landforms are larger, and communities can be more segregated. Along the Mississippi River, low bottomlands are characteristic. These are seasonally flooded backswamps, with flooding usually more frequent than every two years, generally by still water that may be impounded behind natural levees. Vegetation generally includes forests dominated by bottomland hardwood species and other trees tolerant of flooding. However, herbaceous and shrub vegetation may be present in certain areas, particularly on recently deposited bars and in oxbow lakes. Most examples are nearly contiguous over large areas, broken only by the river itself. Higher terraces may have a mosaic of floodplain and upland systems, and may include nonriverine wetland systems. Some of the most typical and characteristic tree species found in stands of this systems group include Taxodium distichum, Nyssa aquatica, Acer saccharinum, Platanus occidentalis, Populus deltoides, Acer negundo, and Salix nigra. Other trees may include Celtis laevigata, Carya illinoinensis, Fraxinus pennsylvanica, Gleditsia triacanthos, Liquidambar styraciflua, Nyssa biflora, Quercus laurifolia, Quercus lyrata, Quercus michauxii, Quercus nigra, Quercus pagoda, Quercus phellos, Quercus similis, Quercus texana, Quercus virginiana, Salix nigra, Ulmus americana, and Ulmus crassifolia. Three distinct groups of associations can be recognized. The lowest, wettest areas have some combination of Taxodium distichum and Nyssa aquatica dominating. Natural levees and riverfronts have a diverse mixture of trees that typically includes Platanus occidentalis, Celtis laevigata, Fraxinus pennsylvanica, Acer saccharinum, Acer negundo, and other species that benefit from the high light levels and heavy alluvial deposition of these sites. Soils are typically sandier than those of the lower bottomlands. Arundinaria gigantea (giant cane) is a common understory in these forests on natural levees and higher point bars, and may become dominant after thinning or removal of the overstory. Willow and cottonwood sandbars may have an open-canopy (woodland-type) structure. Moderate to high parts of the floodplain away from the levee are usually dominated by bottomland hardwoods, various mixtures of wetland oaks, including Quercus laurifolia, Quercus michauxii, Quercus pagoda, and sometimes a number of other oak species, along with Liquidambar styraciflua or other species. The wettest forests can be simple in structure, with an understory but little shrub or herb layer; others tend to have well-developed subcanopy, shrub, and herb layers. Woody vines are usually prominent. Shrubs and small trees include Alnus serrulata, Arundinaria gigantea, Carpinus caroliniana, Cephalanthus occidentalis, Clethra alnifolia, Cornus foemina, Crataegus viridis, Forestiera acuminata, Ilex decidua, Itea virginica, Morella cerifera, Planera aquatica, Sabal minor, and Sebastiania fruticosa. Vines may include Berchemia scandens and Smilax bona-nox. Herbaceous species may include Boehmeria cylindrica, Carex complanata, Carex debilis, Carex intumescens, Carex joorii, Leersia virginica, Lycopus virginicus, Mikania scandens, Saccharum baldwinii, and Typha latifolia. Aquatic and floating herbs include Lemna minor, Nelumbo lutea, Nuphar lutea ssp. advena, and Nymphaea odorata.","."
